time_s,position_cm,theta_raw_cm
0.0,8.9875,2.325
0.001,8.95,2.3125
0.002,8.925,2.3125
0.003,8.9,2.325
0.004,8.875,2.325
0.005,8.85,2.325
0.006,8.825,2.325
0.007,8.8,2.3375
0.008,8.775,2.35
0.009,8.7625,2.3375
0.01,8.7375,2.325
0.011,8.725,2.3375
0.012,8.7125,2.3375
0.013,8.7,2.3375
0.014,8.6875,2.3375
0.015,8.675,2.35
0.016,8.6625,2.35
0.017,8.6625,2.3625
0.018,8.65,2.35
0.019,8.65,2.35
0.02,8.65,2.35
0.021,8.65,2.35
0.022,8.65,2.3625
0.023,8.65,2.35
0.024,8.65,2.3625
0.025,8.65,2.3625
0.026,8.6625,2.3625
0.027,8.6625,2.3625
0.028,8.675,2.3625
0.029,8.6875,2.3625
0.03,8.7,2.3625
0.031,8.7125,2.3625
0.032,8.725,2.3625
0.033,8.7375,2.375
0.034,8.7625,2.375
0.035,8.775,2.375
0.036,8.8,2.375
0.037,8.8125,2.375
0.038,8.8375,2.375
0.039,8.8625,2.375
0.04,8.8875,2.375
0.041,8.9125,2.3875
0.042,8.9375,2.3875
0.043,8.9625,2.3625
0.044,9.0,2.375
0.045,9.025,2.3625
0.046,9.0625,2.375
0.047,9.0875,2.3625
0.048,9.125,2.3625
0.049,9.1625,2.375
0.05,9.2,2.375
0.051,9.25,2.375
0.052,9.2875,2.375
0.053,9.325,2.3625
0.054,9.375,2.3625
0.055,9.4125,2.3625
0.056,9.4625,2.3625
0.057,9.5125,2.3625
0.058,9.5625,2.375
0.059,9.6125,2.3625
0.06,9.6625,2.35
0.061,9.7125,2.35
0.062,9.775,2.35
0.063,9.8375,2.35
0.064,9.8875,2.35
0.065,9.95,2.3375
0.066,10.0125,2.35
0.067,10.0875,2.35
0.068,10.15,2.3375
0.069,10.225,2.3375
0.07,10.2875,2.325
0.071,10.3625,2.325
0.072,10.4375,2.325
0.073,10.5125,2.325
0.074,10.5875,2.325
0.075,10.6625,2.3125
0.076,10.75,2.3
0.077,10.8375,2.3
0.078,10.925,2.3
0.079,11.0125,2.3
0.08,11.1,2.3
0.081,11.1875,2.2875
0.082,11.275,2.275
0.083,11.375,2.2875
0.084,11.475,2.275
0.085,11.575,2.275
0.086,11.675,2.2625
0.087,11.775,2.2625
0.088,11.875,2.25
0.089,11.975,2.25
0.09,12.0875,2.25
0.091,12.1875,2.2375
0.092,12.3125,2.25
0.093,12.4125,2.225
0.094,12.525,2.225
0.095,12.6375,2.2125
0.096,12.75,2.2
0.097,12.875,2.2
