Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0437","0.0001"
"0.0320","0.1225","0.0002"
"0.0520","0.3160","0.0003"
"0.0720","0.5290","0.0003"
"0.0920","0.7288","0.0002"
"0.1120","0.9178","0.0001"
"0.1320","1.0977","0.0001"
"0.1520","1.2720","0.0001"
"0.1720","1.4435","0.0002"
"0.1920","1.6125","0.0002"
"0.2120","1.7805","0.0002"
"0.2320","1.9486","0.0002"
"0.2520","2.1159","0.0002"
"0.2720","2.2830","0.0002"
"0.2920","2.4499","0.0002"
"0.3120","2.6160","0.0002"
"0.3320","2.7828","0.0002"
"0.3520","2.9500","0.0002"
"0.3720","3.1169","0.0002"
"0.3920","3.2837","0.0002"
"0.4120","3.4501","0.0002"
"0.4320","3.6166","0.0002"
"0.4520","3.7838","0.0002"
"0.4720","3.9506","0.0002"
"0.4920","4.1172","0.0002"
"0.5120","4.2841","0.0002"
"0.5320","4.4509","0.0002"
"0.5520","4.6174","0.0002"
"0.5720","4.7838","0.0002"
"0.5920","4.9502","0.0002"
"0.6120","5.1166","0.0002"
"0.6320","5.2837","0.0002"
"0.6520","5.4502","0.0002"
"0.6720","5.6168","0.0002"
"0.6920","5.7833","0.0002"
"0.7120","5.9496","0.0002"
"0.7320","6.1167","0.0002"
"0.7520","6.2834","0.0001"
"0.7720","6.4500","0.0002"
"0.7920","6.6170","0.0001"
"0.8120","6.7832","0.0001"
"0.8320","6.9497","0.0002"
"0.8520","7.1166","0.0002"
"0.8720","7.2831","0.0001"
"0.8920","7.4497","0.0002"
"0.9120","7.6168","0.0001"
"0.9320","7.7832","0.0002"
"0.9520","7.9499","0.0002"
"0.9720","8.1170","0.0002"
"0.9920","8.2830","0.0002"
"1.0120","8.4499","0.0002"
"1.0320","8.6169","0.0002"
"1.0520","8.7831","0.0002"
"1.0720","8.9503","0.0002"
"1.0920","9.1172","0.0002"
"1.1120","9.2838","0.0002"
"1.1320","9.4508","0.0002"
"1.1520","9.6174","0.0002"
"1.1720","9.7834","0.0002"
"1.1920","9.9503","0.0002"
"1.2120","10.1165","0.0002"
"1.2320","10.2831","0.0002"
"1.2520","10.4500","0.0002"
"1.2720","10.6164","0.0002"
"1.2920","10.7831","0.0002"
"1.3120","10.9495","0.0002"
"1.3320","11.1154","0.0002"
"1.3520","11.2826","0.0002"
"1.3720","11.4499","0.0002"
"1.3920","11.6165","0.0002"
"1.4120","11.7835","0.0002"
"1.4320","11.9501","0.0002"
"1.4520","12.1164","0.0002"
"1.4720","12.2831","0.0002"
"1.4920","12.4495","0.0002"
"1.5120","12.6161","0.0002"
"1.5320","12.7833","0.0002"
"1.5520","12.9499","0.0002"
"1.5720","13.1166","0.0002"
"1.5920","13.2833","0.0002"
"1.6120","13.4496","0.0002"
"1.6320","13.6165","0.0002"
"1.6520","13.7838","0.0002"
"1.6720","13.9504","0.0002"
"1.6920","14.1174","0.0002"
"1.7120","14.2841","0.0002"
"1.7320","14.4508","0.0002"
"1.7520","14.6173","0.0002"
"1.7720","14.7839","0.0002"
"1.7920","14.9502","0.0002"
"1.8120","15.1168","0.0002"
"1.8320","15.2835","0.0002"
"1.8520","15.4500","0.0002"
"1.8720","15.6170","0.0002"
"1.8920","15.7832","0.0002"
"1.9120","15.9497","0.0002"
"1.9320","16.1169","0.0002"
"1.9520","16.2833","0.0002"
"1.9720","16.4499","0.0002"
"1.9920","16.6168","0.0002"
"2.0120","16.7832","0.0002"
"2.0320","16.9501","0.0002"
"2.0520","17.1170","0.0002"
"2.0720","17.2832","0.0002"
"2.0920","17.4493","0.0002"
"2.1120","17.6161","0.0002"
"2.1320","17.7828","0.0002"
"2.1520","17.9500","0.0002"
"2.1720","18.1167","0.0002"
"2.1920","18.2827","0.0002"
"2.2120","18.4501","0.0002"
"2.2320","18.6166","0.0002"
"2.2520","18.7831","0.0002"
"2.2720","18.9503","0.0002"
"2.2920","19.1170","0.0002"
"2.3120","19.2837","0.0002"
