Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0001"
"0.0200","0.0393","0.0001"
"0.0400","0.1921","0.0003"
"0.0600","0.3997","0.0003"
"0.0800","0.6060","0.0002"
"0.1000","0.8015","0.0002"
"0.1200","0.9869","0.0002"
"0.1400","1.1656","0.0002"
"0.1600","1.3404","0.0002"
"0.1800","1.5116","0.0002"
"0.2000","1.6803","0.0002"
"0.2200","1.8482","0.0002"
"0.2400","2.0150","0.0002"
"0.2600","2.1819","0.0002"
"0.2800","2.3494","0.0002"
"0.3000","2.5167","0.0002"
"0.3200","2.6836","0.0002"
"0.3400","2.8505","0.0002"
"0.3600","3.0168","0.0002"
"0.3800","3.1835","0.0002"
"0.4000","3.3505","0.0002"
"0.4200","3.5170","0.0002"
"0.4400","3.6844","0.0002"
"0.4600","3.8514","0.0002"
"0.4800","4.0175","0.0002"
"0.5000","4.1841","0.0002"
"0.5200","4.3505","0.0002"
"0.5400","4.5169","0.0002"
"0.5600","4.6839","0.0002"
"0.5800","4.8505","0.0002"
"0.6000","5.0170","0.0002"
"0.6200","5.1838","0.0002"
"0.6400","5.3502","0.0002"
"0.6600","5.5166","0.0002"
"0.6800","5.6837","0.0002"
"0.7000","5.8504","0.0002"
"0.7200","6.0169","0.0002"
"0.7400","6.1839","0.0002"
"0.7600","6.3495","0.0002"
"0.7800","6.5163","0.0002"
"0.8000","6.6834","0.0002"
"0.8200","6.8498","0.0002"
"0.8400","7.0166","0.0002"
"0.8600","7.1829","0.0002"
"0.8800","7.3491","0.0002"
"0.9000","7.5166","0.0002"
"0.9200","7.6832","0.0002"
"0.9400","7.8497","0.0002"
"0.9600","8.0168","0.0002"
"0.9800","8.1833","0.0002"
"1.0000","8.3497","0.0002"
"1.0200","8.5169","0.0002"
"1.0400","8.6833","0.0002"
"1.0600","8.8503","0.0002"
"1.0800","9.0174","0.0002"
"1.1000","9.1835","0.0002"
"1.1200","9.3500","0.0002"
"1.1400","9.5163","0.0002"
"1.1600","9.6827","0.0002"
"1.1800","9.8500","0.0002"
"1.2000","10.0171","0.0002"
"1.2200","10.1839","0.0002"
"1.2400","10.3509","0.0002"
"1.2600","10.5171","0.0002"
"1.2800","10.6832","0.0002"
"1.3000","10.8501","0.0002"
"1.3200","11.0167","0.0002"
"1.3400","11.1832","0.0002"
"1.3600","11.3504","0.0002"
"1.3800","11.5167","0.0002"
"1.4000","11.6829","0.0002"
"1.4200","11.8498","0.0002"
"1.4400","12.0160","0.0002"
"1.4600","12.1832","0.0002"
"1.4800","12.3505","0.0002"
"1.5000","12.5166","0.0002"
