Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0379","0.0000"
"0.0360","0.1503","0.0002"
"0.0560","0.3555","0.0002"
"0.0760","0.5664","0.0001"
"0.0960","0.7643","0.0000"
"0.1160","0.9519","0.0000"
"0.1360","1.1314","0.0000"
"0.1560","1.3065","0.0000"
"0.1760","1.4779","0.0000"
"0.1960","1.6462","0.0000"
"0.2160","1.8142","0.0000"
"0.2360","1.9820","0.0000"
"0.2560","2.1490","0.0000"
"0.2760","2.3162","0.0001"
"0.2960","2.4831","0.0001"
"0.3160","2.6496","0.0001"
"0.3360","2.8168","0.0001"
"0.3560","2.9833","0.0001"
"0.3760","3.1498","0.0001"
"0.3960","3.3170","0.0001"
"0.4160","3.4835","0.0001"
"0.4360","3.6503","0.0001"
"0.4560","3.8172","0.0001"
"0.4760","3.9835","0.0001"
"0.4960","4.1500","0.0001"
"0.5160","4.3163","0.0001"
"0.5360","4.4828","0.0001"
"0.5560","4.6500","0.0001"
"0.5760","4.8169","0.0001"
"0.5960","4.9836","0.0001"
"0.6160","5.1505","0.0001"
"0.6360","5.3165","0.0001"
"0.6560","5.4830","0.0001"
"0.6760","5.6501","0.0001"
"0.6960","5.8166","0.0001"
"0.7160","5.9833","0.0001"
"0.7360","6.1510","0.0001"
"0.7560","6.3174","0.0001"
"0.7760","6.4838","0.0001"
"0.7960","6.6503","0.0001"
"0.8160","6.8164","0.0001"
"0.8360","6.9836","0.0001"
"0.8560","7.1505","0.0001"
"0.8760","7.3165","0.0001"
"0.8960","7.4837","0.0001"
"0.9160","7.6502","0.0001"
"0.9360","7.8163","0.0001"
"0.9560","7.9836","0.0001"
"0.9760","8.1504","0.0001"
"0.9960","8.3165","0.0001"
"1.0160","8.4838","0.0001"
"1.0360","8.6502","0.0001"
"1.0560","8.8164","0.0001"
"1.0760","8.9833","0.0001"
"1.0960","9.1497","0.0001"
"1.1160","9.3164","0.0001"
"1.1360","9.4830","0.0001"
"1.1560","9.6492","0.0001"
"1.1760","9.8164","0.0001"
"1.1960","9.9835","0.0001"
"1.2160","10.1499","0.0001"
"1.2360","10.3171","0.0001"
"1.2560","10.4838","0.0001"
"1.2760","10.6498","0.0001"
"1.2960","10.8164","0.0001"
"1.3160","10.9831","0.0001"
"1.3360","11.1498","0.0001"
"1.3560","11.3173","0.0001"
"1.3760","11.4841","0.0001"
"1.3960","11.6503","0.0001"
"1.4160","11.8167","0.0001"
"1.4360","11.9826","0.0001"
"1.4560","12.1496","0.0001"
"1.4760","12.3171","0.0001"
"1.4960","12.4838","0.0001"
"1.5160","12.6505","0.0001"
"1.5360","12.8168","0.0001"
"1.5560","12.9828","0.0001"
"1.5760","13.1502","0.0001"
"1.5960","13.3173","0.0001"
"1.6160","13.4835","0.0001"
"1.6360","13.6506","0.0002"
"1.6560","13.8170","0.0001"
"1.6760","13.9832","0.0001"
"1.6960","14.1499","0.0001"
"1.7160","14.3159","0.0001"
"1.7360","14.4828","0.0002"
"1.7560","14.6505","0.0002"
"1.7760","14.8169","0.0002"
"1.7960","14.9835","0.0002"
"1.8160","15.1502","0.0002"
"1.8360","15.3164","0.0002"
"1.8560","15.4832","0.0002"
"1.8760","15.6499","0.0002"
"1.8960","15.8158","0.0002"
"1.9160","15.9833","0.0001"
"1.9360","16.1504","0.0001"
"1.9560","16.3169","0.0002"
"1.9760","16.4836","0.0002"
"1.9960","16.6500","0.0002"
"2.0160","16.8161","0.0002"
"2.0360","16.9834","0.0002"
"2.0560","17.1500","0.0002"
"2.0760","17.3166","0.0002"
"2.0960","17.4836","0.0002"
"2.1160","17.6498","0.0002"
"2.1360","17.8165","0.0002"
"2.1560","17.9834","0.0002"
"2.1760","18.1493","0.0002"
"2.1960","18.3163","0.0002"
"2.2160","18.4837","0.0002"
"2.2360","18.6504","0.0002"
"2.2560","18.8175","0.0002"
"2.2760","18.9838","0.0002"
"2.2960","19.1492","0.0002"
"2.3160","19.3161","0.0002"
