Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0374","0.0001"
"0.0300","0.0980","0.0002"
"0.0420","0.2048","0.0003"
"0.0620","0.4180","0.0003"
"0.0820","0.6283","0.0002"
"0.1020","0.8231","0.0002"
"0.1220","1.0083","0.0002"
"0.1420","1.1850","0.0001"
"0.1620","1.3581","0.0001"
"0.1820","1.5283","0.0002"
"0.2020","1.6970","0.0002"
"0.2220","1.8650","0.0002"
"0.2420","2.0322","0.0002"
"0.2620","2.1995","0.0002"
"0.2820","2.3669","0.0002"
"0.3020","2.5334","0.0002"
"0.3220","2.7002","0.0002"
"0.3420","2.8667","0.0002"
"0.3620","3.0333","0.0002"
"0.3820","3.2000","0.0002"
"0.4020","3.3666","0.0002"
"0.4220","3.5333","0.0002"
"0.4420","3.7002","0.0002"
"0.4620","3.8668","0.0002"
"0.4820","4.0336","0.0002"
"0.5020","4.2005","0.0002"
"0.5220","4.3668","0.0002"
"0.5420","4.5333","0.0002"
"0.5620","4.7003","0.0002"
"0.5820","4.8667","0.0002"
"0.6020","5.0338","0.0002"
"0.6220","5.2003","0.0002"
"0.6420","5.3665","0.0002"
"0.6620","5.5331","0.0002"
"0.6820","5.7000","0.0002"
"0.7020","5.8665","0.0002"
"0.7220","6.0337","0.0002"
"0.7420","6.2003","0.0002"
"0.7620","6.3666","0.0002"
"0.7820","6.5335","0.0002"
"0.8020","6.7002","0.0002"
"0.8220","6.8667","0.0002"
"0.8420","7.0340","0.0002"
"0.8620","7.2004","0.0002"
"0.8820","7.3673","0.0002"
"0.9020","7.5341","0.0002"
"0.9220","7.7004","0.0002"
"0.9420","7.8667","0.0002"
"0.9620","8.0336","0.0002"
"0.9820","8.2004","0.0002"
"1.0020","8.3674","0.0002"
"1.0220","8.5334","0.0002"
"1.0420","8.6995","0.0002"
"1.0620","8.8662","0.0002"
"1.0820","9.0330","0.0002"
"1.1020","9.2002","0.0002"
"1.1220","9.3672","0.0002"
"1.1420","9.5336","0.0002"
"1.1620","9.6999","0.0002"
"1.1820","9.8666","0.0002"
"1.2020","10.0328","0.0002"
"1.2220","10.1995","0.0002"
"1.2420","10.3668","0.0002"
"1.2620","10.5332","0.0002"
"1.2820","10.7001","0.0002"
"1.3020","10.8665","0.0002"
"1.3220","11.0326","0.0002"
"1.3420","11.2002","0.0002"
"1.3620","11.3671","0.0002"
"1.3820","11.5336","0.0002"
"1.4020","11.7004","0.0002"
"1.4220","11.8668","0.0002"
"1.4420","12.0335","0.0002"
"1.4620","12.2007","0.0002"
"1.4820","12.3671","0.0002"
"1.5020","12.5337","0.0002"
"1.5220","12.7009","0.0002"
"1.5420","12.8669","0.0002"
"1.5620","13.0334","0.0002"
"1.5820","13.2001","0.0002"
"1.6020","13.3666","0.0002"
"1.6220","13.5337","0.0002"
"1.6420","13.7006","0.0002"
"1.6620","13.8667","0.0002"
"1.6820","14.0333","0.0002"
"1.7020","14.1998","0.0002"
"1.7220","14.3663","0.0002"
"1.7420","14.5336","0.0002"
"1.7620","14.7000","0.0002"
"1.7820","14.8659","0.0002"
"1.8020","15.0332","0.0002"
"1.8220","15.1998","0.0002"
"1.8420","15.3663","0.0002"
"1.8620","15.5334","0.0002"
"1.8820","15.6997","0.0002"
"1.9020","15.8663","0.0002"
"1.9220","16.0334","0.0002"
"1.9420","16.1999","0.0002"
"1.9620","16.3667","0.0002"
"1.9820","16.5334","0.0002"
"2.0020","16.7001","0.0002"
"2.0220","16.8672","0.0002"
"2.0420","17.0336","0.0002"
"2.0620","17.1997","0.0002"
"2.0820","17.3673","0.0002"
"2.1020","17.5342","0.0002"
"2.1220","17.7007","0.0002"
"2.1420","17.8674","0.0002"
"2.1620","18.0337","0.0002"
"2.1820","18.1999","0.0002"
"2.2020","18.3668","0.0002"
"2.2220","18.5331","0.0002"
"2.2420","18.7000","0.0002"
"2.2620","18.8673","0.0002"
"2.2820","19.0337","0.0002"
"2.3020","19.2002","0.0002"
