Time,Displacement,Force
(s),(mm),(kN)
0.0000,0.0000,0.0000
0.0200,0.0388,0.0001
0.0340,0.1355,0.0002
0.0540,0.3363,0.0003
0.0740,0.5466,0.0002
0.0940,0.7453,0.0002
0.1140,0.9332,0.0001
0.1340,1.1137,0.0002
0.1540,1.2882,0.0002
0.1740,1.4601,0.0002
0.1940,1.6296,0.0002
0.2140,1.7973,0.0002
0.2340,1.9653,0.0002
0.2540,2.1326,0.0002
0.2740,2.2995,0.0002
0.2940,2.4669,0.0002
0.3140,2.6336,0.0002
0.3340,2.8000,0.0002
0.3540,2.9669,0.0002
0.3740,3.1337,0.0002
0.3940,3.3002,0.0002
0.4140,3.4668,0.0002
0.4340,3.6330,0.0002
0.4540,3.7997,0.0002
0.4740,3.9664,0.0002
0.4940,4.1331,0.0002
0.5140,4.2999,0.0003
0.5340,4.4666,0.0002
0.5540,4.6331,0.0002
0.5740,4.8001,0.0002
0.5940,4.9668,0.0002
0.6140,5.1333,0.0002
0.6340,5.3003,0.0002
0.6540,5.4668,0.0002
0.6740,5.6329,0.0002
0.6940,5.7997,0.0002
0.7140,5.9664,0.0002
0.7340,6.1332,0.0002
0.7540,6.3004,0.0002
0.7740,6.4667,0.0002
0.7940,6.6333,0.0002
0.8140,6.8002,0.0002
0.8340,6.9667,0.0002
0.8540,7.1336,0.0002
0.8740,7.3007,0.0002
0.8940,7.4670,0.0002
0.9140,7.6341,0.0002
0.9340,7.8005,0.0002
0.9540,7.9667,0.0003
0.9740,8.1336,0.0003
0.9940,8.3000,0.0002
1.0140,8.4669,0.0002
1.0340,8.6340,0.0003
1.0540,8.7999,0.0003
1.0740,8.9661,0.0003
1.0940,9.1329,0.0003
1.1140,9.2996,0.0003
1.1340,9.4666,0.0003
1.1540,9.6334,0.0003
1.1740,9.7998,0.0003
1.1940,9.9662,0.0003
1.2140,10.1332,0.0003
1.2340,10.2998,0.0003
1.2540,10.4666,0.0003
1.2740,10.6334,0.0003
1.2940,10.7996,0.0003
1.3140,10.9663,0.0003
1.3340,11.1329,0.0003
1.3540,11.2992,0.0003
1.3740,11.4669,0.0003
1.3940,11.6338,0.0003
1.4140,11.8001,0.0003
1.4340,11.9671,0.0003
1.4540,12.1335,0.0003
1.4740,12.3001,0.0004
1.4940,12.4673,0.0004
1.5140,12.6335,0.0004
1.5340,12.8003,0.0004
1.5540,12.9671,0.0004
1.5740,13.1333,0.0004
1.5940,13.3000,0.0004
1.6140,13.4666,0.0004
1.6340,13.6329,0.0004
1.6540,13.8005,0.0004
1.6740,13.9670,0.0004
1.6940,14.1331,0.0004
1.7140,14.2998,0.0004
1.7340,14.4663,0.0004
1.7540,14.6331,0.0004
1.7740,14.8003,0.0004
1.7940,14.9665,0.0004
1.8140,15.1329,0.0004
1.8340,15.2998,0.0004
1.8540,15.4662,0.0004
1.8740,15.6331,0.0004
1.8940,15.7998,0.0004
1.9140,15.9659,0.0004
1.9340,16.1328,0.0004
1.9540,16.2998,0.0004
1.9740,16.4665,0.0005
1.9940,16.6334,0.0004
2.0140,16.8001,0.0004
2.0340,16.9666,0.0004
2.0540,17.1336,0.0004
2.0740,17.3001,0.0004
2.0940,17.4666,0.0004
2.1140,17.6340,0.0005
2.1340,17.8006,0.0005
2.1540,17.9671,0.0005
2.1740,18.1339,0.0005
2.1940,18.2998,0.0004
2.2140,18.4665,0.0004
2.2340,18.6335,0.0004
2.2540,18.7999,0.0004
2.2740,18.9670,0.0004
2.2940,19.1339,0.0004
2.3140,19.3001,0.0004
2.3340,19.4665,0.0004
2.3540,19.6325,0.0004
2.3740,19.7990,0.0004
2.3940,19.9667,0.0004
2.4140,20.1335,0.0005
2.4340,20.3001,0.0005
2.4540,20.4666,0.0005
2.4740,20.6329,0.0005
2.4940,20.7996,0.0005
2.5140,20.9665,0.0005
2.5340,21.1330,0.0004
2.5540,21.2999,0.0004
2.5740,21.4664,0.0003
2.5940,21.6326,0.0003
2.6140,21.7997,0.0003
2.6340,21.9664,0.0003
