Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0386","0.0000"
"0.0340","0.1364","0.0002"
"0.0540","0.3380","0.0002"
"0.0740","0.5486","0.0001"
"0.0940","0.7468","0.0001"
"0.1140","0.9344","0.0000"
"0.1340","1.1142","0.0000"
"0.1540","1.2885","0.0000"
"0.1740","1.4606","0.0001"
"0.1940","1.6302","0.0001"
"0.2140","1.7981","0.0001"
"0.2340","1.9655","0.0001"
"0.2540","2.1324","0.0001"
"0.2740","2.2992","0.0001"
"0.2940","2.4665","0.0001"
"0.3140","2.6332","0.0001"
"0.3340","2.7999","0.0001"
"0.3540","2.9666","0.0001"
"0.3740","3.1328","0.0001"
"0.3940","3.2995","0.0001"
"0.4140","3.4665","0.0001"
"0.4340","3.6334","0.0001"
"0.4540","3.8003","0.0001"
"0.4740","3.9667","0.0001"
"0.4940","4.1328","0.0001"
"0.5140","4.2997","0.0001"
"0.5340","4.4664","0.0001"
"0.5540","4.6332","0.0001"
"0.5740","4.8001","0.0001"
"0.5940","4.9665","0.0001"
"0.6140","5.1334","0.0001"
"0.6340","5.2999","0.0001"
"0.6540","5.4662","0.0001"
"0.6740","5.6331","0.0001"
"0.6940","5.8002","0.0001"
"0.7140","5.9670","0.0001"
"0.7340","6.1338","0.0001"
"0.7540","6.3005","0.0001"
"0.7740","6.4672","0.0001"
"0.7940","6.6340","0.0001"
"0.8140","6.8004","0.0001"
"0.8340","6.9667","0.0001"
"0.8540","7.1335","0.0001"
"0.8740","7.2998","0.0001"
"0.8940","7.4665","0.0001"
"0.9140","7.6332","0.0001"
"0.9340","7.7998","0.0001"
"0.9540","7.9665","0.0001"
"0.9740","8.1333","0.0001"
"0.9940","8.2995","0.0001"
"1.0140","8.4662","0.0001"
"1.0340","8.6333","0.0001"
"1.0540","8.7999","0.0001"
"1.0740","8.9667","0.0001"
"1.0940","9.1334","0.0001"
"1.1140","9.2994","0.0001"
"1.1340","9.4662","0.0001"
"1.1540","9.6331","0.0001"
"1.1740","9.7997","0.0001"
"1.1940","9.9668","0.0001"
"1.2140","10.1334","0.0001"
"1.2340","10.2999","0.0001"
"1.2540","10.4669","0.0001"
"1.2740","10.6331","0.0001"
"1.2940","10.7995","0.0001"
"1.3140","10.9667","0.0001"
"1.3340","11.1335","0.0001"
"1.3540","11.3005","0.0001"
"1.3740","11.4676","0.0001"
"1.3940","11.6338","0.0001"
"1.4140","11.8005","0.0001"
"1.4340","11.9672","0.0001"
"1.4540","12.1337","0.0001"
"1.4740","12.3003","0.0001"
"1.4940","12.4667","0.0001"
"1.5140","12.6331","0.0001"
"1.5340","12.7999","0.0001"
"1.5540","12.9664","0.0001"
"1.5740","13.1330","0.0001"
"1.5940","13.3001","0.0001"
"1.6140","13.4666","0.0001"
"1.6340","13.6332","0.0001"
"1.6540","13.8000","0.0001"
"1.6740","13.9664","0.0001"
"1.6940","14.1331","0.0001"
"1.7140","14.3004","0.0001"
"1.7340","14.4666","0.0001"
"1.7540","14.6330","0.0001"
"1.7740","14.7996","0.0001"
"1.7940","14.9659","0.0001"
"1.8140","15.1332","0.0001"
"1.8340","15.3000","0.0001"
"1.8540","15.4662","0.0001"
"1.8740","15.6334","0.0001"
"1.8940","15.8001","0.0001"
"1.9140","15.9663","0.0001"
"1.9340","16.1335","0.0001"
"1.9540","16.3000","0.0001"
"1.9740","16.4667","0.0001"
"1.9940","16.6341","0.0001"
"2.0140","16.8002","0.0001"
"2.0340","16.9667","0.0001"
"2.0540","17.1334","0.0001"
"2.0740","17.2995","0.0001"
"2.0940","17.4668","0.0001"
"2.1140","17.6336","0.0001"
"2.1340","17.7995","0.0001"
"2.1540","17.9665","0.0001"
"2.1740","18.1332","0.0001"
"2.1940","18.2999","0.0001"
"2.2140","18.4670","0.0001"
"2.2340","18.6334","0.0001"
"2.2540","18.7996","0.0001"
"2.2740","18.9666","0.0001"
"2.2940","19.1335","0.0001"
"2.3140","19.3001","0.0001"
